,x,y,t,stroke_nr
0,177.0,-133.0,1712907037.8065445,0.0
1,177.0,-135.0,1712907037.8597488,0.0
2,177.0,-137.0,1712907037.8696916,0.0
3,178.0,-139.0,1712907037.879406,0.0
4,178.0,-144.0,1712907037.8872855,0.0
5,178.0,-148.0,1712907037.8971438,0.0
6,178.0,-154.0,1712907037.9073877,0.0
7,179.0,-161.0,1712907037.9166212,0.0
8,179.0,-168.0,1712907037.9267247,0.0
9,180.0,-175.0,1712907037.9355268,0.0
10,180.0,-184.0,1712907037.945398,0.0
11,181.0,-192.0,1712907037.9544766,0.0
12,181.0,-201.0,1712907037.964747,0.0
13,181.0,-211.0,1712907037.9736402,0.0
14,181.0,-221.0,1712907037.9834974,0.0
15,181.0,-231.0,1712907037.9925802,0.0
16,181.0,-241.0,1712907038.003591,0.0
17,180.0,-251.0,1712907038.0115194,0.0
18,180.0,-260.0,1712907038.0218976,0.0
19,180.0,-269.0,1712907038.0314536,0.0
20,179.0,-278.0,1712907038.0402637,0.0
21,179.0,-286.0,1712907038.050438,0.0
22,179.0,-294.0,1712907038.059649,0.0
23,179.0,-301.0,1712907038.07005,0.0
24,180.0,-307.0,1712907038.0784538,0.0
25,180.0,-313.0,1712907038.0872564,0.0
26,180.0,-318.0,1712907038.0971706,0.0
27,181.0,-322.0,1712907038.1061382,0.0
28,181.0,-326.0,1712907038.1162975,0.0
29,181.0,-330.0,1712907038.1265771,0.0
30,182.0,-333.0,1712907038.1368003,0.0
31,181.0,-337.0,1712907038.145616,0.0
32,181.0,-340.0,1712907038.1544683,0.0
33,181.0,-343.0,1712907038.1644871,0.0
34,181.0,-345.0,1712907038.1734583,0.0
35,181.0,-348.0,1712907038.1833012,0.0
36,181.0,-350.0,1712907038.1924882,0.0
37,181.0,-353.0,1712907038.203882,0.0
38,181.0,-355.0,1712907038.2121277,0.0
39,181.0,-357.0,1712907038.2226117,0.0
40,180.0,-360.0,1712907038.230633,0.0
41,180.0,-362.0,1712907038.240515,0.0
42,180.0,-365.0,1712907038.2496731,0.0
43,179.0,-367.0,1712907038.259643,0.0
44,179.0,-368.0,1712907038.269487,0.0
45,179.0,-370.0,1712907038.276498,0.0
46,179.0,-370.0,1712907038.285282,0.0
47,178.0,-371.0,1712907038.2951488,0.0
48,178.0,-372.0,1712907038.3055289,0.0
49,178.0,-372.0,1712907038.3145912,0.0
50,178.0,-369.0,1712907038.363111,0.0
51,178.0,-365.0,1712907038.3722842,0.0
52,178.0,-360.0,1712907038.3814843,0.0
53,179.0,-353.0,1712907038.3927248,0.0
54,180.0,-345.0,1712907038.4019163,0.0
55,182.0,-337.0,1712907038.4111323,0.0
56,183.0,-328.0,1712907038.4200907,0.0
57,184.0,-320.0,1712907038.4300663,0.0
58,186.0,-311.0,1712907038.438971,0.0
59,187.0,-302.0,1712907038.4489322,0.0
60,189.0,-293.0,1712907038.4591305,0.0
61,192.0,-284.0,1712907038.4696302,0.0
62,195.0,-275.0,1712907038.4774623,0.0
63,198.0,-266.0,1712907038.4878476,0.0
64,202.0,-258.0,1712907038.4961812,0.0
65,206.0,-250.0,1712907038.505906,0.0
66,210.0,-243.0,1712907038.515545,0.0
67,214.0,-237.0,1712907038.5246265,0.0
68,218.0,-232.0,1712907038.537153,0.0
69,222.0,-228.0,1712907038.5450451,0.0
70,226.0,-225.0,1712907038.5544763,0.0
71,230.0,-222.0,1712907038.5642352,0.0
72,234.0,-221.0,1712907038.573153,0.0
73,239.0,-220.0,1712907038.5831044,0.0
74,242.0,-220.0,1712907038.592105,0.0
75,247.0,-221.0,1712907038.6012235,0.0
76,252.0,-223.0,1712907038.6110616,0.0
77,257.0,-226.0,1712907038.6199074,0.0
78,261.0,-231.0,1712907038.6304288,0.0
79,265.0,-236.0,1712907038.639226,0.0
80,269.0,-243.0,1712907038.6496327,0.0
81,271.0,-250.0,1712907038.6593373,0.0
82,274.0,-258.0,1712907038.6686022,0.0
83,276.0,-266.0,1712907038.6784065,0.0
84,278.0,-275.0,1712907038.6885402,0.0
85,279.0,-284.0,1712907038.6972284,0.0
86,281.0,-293.0,1712907038.706246,0.0
87,282.0,-301.0,1712907038.716717,0.0
88,282.0,-309.0,1712907038.7259526,0.0
89,283.0,-317.0,1712907038.7365694,0.0
90,283.0,-324.0,1712907038.7445748,0.0
91,283.0,-331.0,1712907038.7538702,0.0
92,283.0,-337.0,1712907038.7637353,0.0
93,282.0,-343.0,1712907038.773503,0.0
94,282.0,-347.0,1712907038.781662,0.0
95,282.0,-351.0,1712907038.7920008,0.0
96,283.0,-354.0,1712907038.8013768,0.0
97,283.0,-357.0,1712907038.810378,0.0
98,283.0,-359.0,1712907038.8206735,0.0
99,284.0,-362.0,1712907038.8305027,0.0
100,284.0,-363.0,1712907038.8397315,0.0
101,284.0,-363.0,1712907038.8485973,0.0
102,284.0,-363.0,1712907038.8486936,0.0
103,333.0,-301.0,1712907039.3085556,1.0
104,335.0,-301.0,1712907039.3445501,1.0
105,337.0,-301.0,1712907039.354683,1.0
106,340.0,-301.0,1712907039.3648741,1.0
107,344.0,-301.0,1712907039.3737535,1.0
108,349.0,-301.0,1712907039.3840392,1.0
109,354.0,-301.0,1712907039.3935368,1.0
110,360.0,-301.0,1712907039.4026268,1.0
111,366.0,-300.0,1712907039.412698,1.0
112,372.0,-300.0,1712907039.4218073,1.0
113,378.0,-299.0,1712907039.4317572,1.0
114,384.0,-298.0,1712907039.4409986,1.0
115,390.0,-297.0,1712907039.4507797,1.0
116,395.0,-295.0,1712907039.4608839,1.0
117,400.0,-294.0,1712907039.4699678,1.0
118,404.0,-291.0,1712907039.480189,1.0
119,408.0,-289.0,1712907039.4893205,1.0
120,411.0,-286.0,1712907039.4984376,1.0
121,414.0,-284.0,1712907039.5081632,1.0
122,416.0,-282.0,1712907039.517925,1.0
123,417.0,-279.0,1712907039.5263019,1.0
124,418.0,-277.0,1712907039.535779,1.0
125,418.0,-274.0,1712907039.545048,1.0
126,418.0,-271.0,1712907039.5555117,1.0
127,418.0,-268.0,1712907039.5648525,1.0
128,416.0,-264.0,1712907039.574797,1.0
129,415.0,-259.0,1712907039.5846114,1.0
130,413.0,-255.0,1712907039.5934153,1.0
131,411.0,-252.0,1712907039.6040857,1.0
132,409.0,-248.0,1712907039.6128922,1.0
133,406.0,-245.0,1712907039.6221948,1.0
134,404.0,-242.0,1712907039.632193,1.0
135,400.0,-240.0,1712907039.642356,1.0
136,397.0,-238.0,1712907039.6522777,1.0
137,393.0,-237.0,1712907039.6613011,1.0
138,390.0,-236.0,1712907039.6704538,1.0
139,387.0,-236.0,1712907039.6805823,1.0
140,383.0,-237.0,1712907039.6889439,1.0
141,378.0,-238.0,1712907039.701049,1.0
142,373.0,-241.0,1712907039.7080379,1.0
143,367.0,-244.0,1712907039.7172868,1.0
144,362.0,-249.0,1712907039.72714,1.0
145,358.0,-255.0,1712907039.7360494,1.0
146,354.0,-262.0,1712907039.7462988,1.0
147,351.0,-270.0,1712907039.7550101,1.0
148,348.0,-278.0,1712907039.7650542,1.0
149,346.0,-286.0,1712907039.7741828,1.0
150,345.0,-295.0,1712907039.7841895,1.0
151,344.0,-303.0,1712907039.793618,1.0
152,344.0,-312.0,1712907039.8044748,1.0
153,344.0,-320.0,1712907039.8135548,1.0
154,345.0,-329.0,1712907039.8228025,1.0
155,347.0,-337.0,1712907039.8334086,1.0
156,348.0,-345.0,1712907039.8426385,1.0
157,350.0,-351.0,1712907039.851203,1.0
158,353.0,-357.0,1712907039.8598552,1.0
159,356.0,-362.0,1712907039.8700736,1.0
160,360.0,-366.0,1712907039.8794696,1.0
161,364.0,-370.0,1712907039.8890982,1.0
162,368.0,-372.0,1712907039.8992882,1.0
163,373.0,-374.0,1712907039.909394,1.0
164,379.0,-376.0,1712907039.917271,1.0
165,384.0,-376.0,1712907039.9274712,1.0
166,390.0,-376.0,1712907039.9368858,1.0
167,397.0,-375.0,1712907039.9461908,1.0
168,404.0,-373.0,1712907039.9551995,1.0
169,412.0,-370.0,1712907039.965461,1.0
170,420.0,-367.0,1712907039.9747424,1.0
171,429.0,-362.0,1712907039.984369,1.0
172,437.0,-356.0,1712907039.9934318,1.0
173,437.0,-356.0,1712907040.0032604,1.0
174,437.0,-356.0,1712907040.0033092,1.0
175,486.0,-142.0,1712907040.427151,2.0
176,485.0,-144.0,1712907040.4720297,2.0
177,485.0,-147.0,1712907040.4823065,2.0
178,484.0,-152.0,1712907040.4919531,2.0
179,483.0,-159.0,1712907040.5010996,2.0
180,482.0,-168.0,1712907040.5110755,2.0
181,480.0,-178.0,1712907040.5203156,2.0
182,478.0,-189.0,1712907040.5292196,2.0
183,477.0,-200.0,1712907040.5403707,2.0
184,475.0,-212.0,1712907040.5479696,2.0
185,474.0,-223.0,1712907040.557901,2.0
186,474.0,-235.0,1712907040.5671492,2.0
187,473.0,-247.0,1712907040.577149,2.0
188,473.0,-258.0,1712907040.5871751,2.0
189,472.0,-269.0,1712907040.5960505,2.0
190,472.0,-278.0,1712907040.6063454,2.0
191,472.0,-289.0,1712907040.61603,2.0
192,472.0,-298.0,1712907040.6250498,2.0
193,472.0,-307.0,1712907040.634235,2.0
194,472.0,-315.0,1712907040.643285,2.0
195,473.0,-323.0,1712907040.653645,2.0
196,474.0,-330.0,1712907040.6655924,2.0
197,476.0,-337.0,1712907040.6727045,2.0
198,478.0,-343.0,1712907040.6819396,2.0
199,480.0,-347.0,1712907040.6910172,2.0
200,482.0,-351.0,1712907040.701018,2.0
201,484.0,-353.0,1712907040.7095673,2.0
202,487.0,-355.0,1712907040.7198288,2.0
203,491.0,-356.0,1712907040.7298107,2.0
204,496.0,-357.0,1712907040.7389317,2.0
205,501.0,-356.0,1712907040.7479546,2.0
206,507.0,-355.0,1712907040.7576723,2.0
207,513.0,-352.0,1712907040.766657,2.0
208,521.0,-347.0,1712907040.7770882,2.0
209,528.0,-339.0,1712907040.7862163,2.0
210,528.0,-339.0,1712907040.7958243,2.0
211,528.0,-339.0,1712907040.795869,2.0
212,571.0,-133.0,1712907041.1614866,3.0
213,571.0,-136.0,1712907041.1980665,3.0
214,571.0,-140.0,1712907041.2082496,3.0
215,570.0,-147.0,1712907041.2174249,3.0
216,569.0,-156.0,1712907041.2272882,3.0
217,568.0,-166.0,1712907041.2365324,3.0
218,566.0,-177.0,1712907041.2467258,3.0
219,564.0,-189.0,1712907041.2554808,3.0
220,561.0,-200.0,1712907041.2658186,3.0
221,559.0,-212.0,1712907041.2748284,3.0
222,556.0,-223.0,1712907041.2844677,3.0
223,554.0,-234.0,1712907041.2933824,3.0
224,552.0,-244.0,1712907041.303439,3.0
225,551.0,-254.0,1712907041.312581,3.0
226,550.0,-263.0,1712907041.322878,3.0
227,549.0,-272.0,1712907041.3294446,3.0
228,549.0,-280.0,1712907041.3391452,3.0
229,549.0,-288.0,1712907041.3498085,3.0
230,550.0,-296.0,1712907041.3583422,3.0
231,551.0,-304.0,1712907041.3685598,3.0
