,x,y,t,stroke_nr
0,97.0,-160.0,1713172057.1874664,0.0
1,97.0,-162.0,1713172057.221498,0.0
2,97.0,-164.0,1713172057.230343,0.0
3,97.0,-167.0,1713172057.2396502,0.0
4,97.0,-170.0,1713172057.2495182,0.0
5,97.0,-174.0,1713172057.2589812,0.0
6,97.0,-180.0,1713172057.2682889,0.0
7,97.0,-186.0,1713172057.2779756,0.0
8,97.0,-192.0,1713172057.2871966,0.0
9,97.0,-199.0,1713172057.2971272,0.0
10,97.0,-205.0,1713172057.3065991,0.0
11,97.0,-211.0,1713172057.3169985,0.0
12,97.0,-217.0,1713172057.325578,0.0
13,97.0,-223.0,1713172057.335025,0.0
14,96.0,-229.0,1713172057.3442225,0.0
15,96.0,-235.0,1713172057.3546665,0.0
16,96.0,-241.0,1713172057.3633888,0.0
17,95.0,-246.0,1713172057.3748693,0.0
18,95.0,-251.0,1713172057.3826723,0.0
19,94.0,-256.0,1713172057.3922758,0.0
20,93.0,-261.0,1713172057.40198,0.0
21,93.0,-266.0,1713172057.4116144,0.0
22,92.0,-270.0,1713172057.4209223,0.0
23,91.0,-274.0,1713172057.4298935,0.0
24,91.0,-277.0,1713172057.4400933,0.0
25,90.0,-280.0,1713172057.4486034,0.0
26,89.0,-283.0,1713172057.4591315,0.0
27,89.0,-285.0,1713172057.4681337,0.0
28,88.0,-288.0,1713172057.4776456,0.0
29,87.0,-290.0,1713172057.4871602,0.0
30,87.0,-292.0,1713172057.4989128,0.0
31,86.0,-294.0,1713172057.5061045,0.0
32,86.0,-296.0,1713172057.515089,0.0
33,85.0,-297.0,1713172057.5268135,0.0
34,85.0,-298.0,1713172057.532969,0.0
35,85.0,-299.0,1713172057.5425255,0.0
36,85.0,-299.0,1713172057.5520117,0.0
37,85.0,-299.0,1713172057.5520563,0.0
38,64.0,-213.0,1713172057.9294503,1.0
39,66.0,-213.0,1713172058.024229,1.0
40,68.0,-213.0,1713172058.0324457,1.0
41,71.0,-214.0,1713172058.043095,1.0
42,74.0,-214.0,1713172058.0511894,1.0
43,79.0,-214.0,1713172058.0607853,1.0
44,83.0,-215.0,1713172058.0705225,1.0
45,87.0,-215.0,1713172058.0803325,1.0
46,91.0,-215.0,1713172058.0895505,1.0
47,95.0,-215.0,1713172058.0999832,1.0
48,98.0,-215.0,1713172058.1094835,1.0
49,102.0,-215.0,1713172058.1185899,1.0
50,105.0,-215.0,1713172058.128322,1.0
51,108.0,-215.0,1713172058.1376824,1.0
52,111.0,-214.0,1713172058.146728,1.0
53,114.0,-214.0,1713172058.1566687,1.0
54,116.0,-214.0,1713172058.1660128,1.0
55,118.0,-213.0,1713172058.1774588,1.0
56,119.0,-213.0,1713172058.1853824,1.0
57,121.0,-213.0,1713172058.1945405,1.0
58,122.0,-213.0,1713172058.204517,1.0
59,123.0,-213.0,1713172058.2134104,1.0
60,123.0,-213.0,1713172058.2226593,1.0
61,123.0,-213.0,1713172058.2227042,1.0
62,158.0,-154.0,1713172058.655107,2.0
63,158.0,-155.0,1713172058.7210357,2.0
64,158.0,-157.0,1713172058.7297862,2.0
65,158.0,-160.0,1713172058.7397084,2.0
66,159.0,-164.0,1713172058.7488458,2.0
67,159.0,-168.0,1713172058.7592738,2.0
68,160.0,-173.0,1713172058.7682047,2.0
69,160.0,-178.0,1713172058.7778623,2.0
70,161.0,-185.0,1713172058.7873468,2.0
71,162.0,-191.0,1713172058.7971418,2.0
72,162.0,-198.0,1713172058.809441,2.0
73,162.0,-204.0,1713172058.8156238,2.0
74,163.0,-211.0,1713172058.8261144,2.0
75,163.0,-218.0,1713172058.8346128,2.0
76,163.0,-225.0,1713172058.8439884,2.0
77,163.0,-232.0,1713172058.8539848,2.0
78,162.0,-238.0,1713172058.8636584,2.0
79,162.0,-245.0,1713172058.8731837,2.0
80,162.0,-251.0,1713172058.8822458,2.0
81,161.0,-258.0,1713172058.8926108,2.0
82,161.0,-263.0,1713172058.9013357,2.0
83,160.0,-269.0,1713172058.9108152,2.0
84,160.0,-273.0,1713172058.92049,2.0
85,159.0,-278.0,1713172058.929621,2.0
86,159.0,-281.0,1713172058.9408703,2.0
87,158.0,-284.0,1713172058.9493656,2.0
88,158.0,-287.0,1713172058.9598033,2.0
89,158.0,-290.0,1713172058.968213,2.0
90,157.0,-292.0,1713172058.9777672,2.0
91,157.0,-294.0,1713172058.9875786,2.0
92,157.0,-297.0,1713172058.9970226,2.0
93,156.0,-298.0,1713172059.0061572,2.0
94,156.0,-300.0,1713172059.015573,2.0
95,156.0,-301.0,1713172059.024854,2.0
96,156.0,-302.0,1713172059.0349944,2.0
97,156.0,-302.0,1713172059.0439265,2.0
98,156.0,-303.0,1713172059.0542328,2.0
99,156.0,-303.0,1713172059.0630014,2.0
100,157.0,-298.0,1713172059.1208196,2.0
101,158.0,-295.0,1713172059.1302035,2.0
102,160.0,-290.0,1713172059.139597,2.0
103,162.0,-284.0,1713172059.1494994,2.0
104,164.0,-279.0,1713172059.1593478,2.0
105,166.0,-274.0,1713172059.1682546,2.0
106,168.0,-269.0,1713172059.1776254,2.0
107,171.0,-265.0,1713172059.1868782,2.0
108,173.0,-260.0,1713172059.195986,2.0
109,176.0,-256.0,1713172059.205965,2.0
110,178.0,-252.0,1713172059.215466,2.0
111,181.0,-248.0,1713172059.2260904,2.0
112,184.0,-244.0,1713172059.235053,2.0
113,187.0,-242.0,1713172059.2438736,2.0
114,189.0,-240.0,1713172059.2548227,2.0
115,191.0,-238.0,1713172059.26287,2.0
116,193.0,-237.0,1713172059.2719939,2.0
117,194.0,-236.0,1713172059.2818978,2.0
118,195.0,-235.0,1713172059.2916176,2.0
119,196.0,-235.0,1713172059.3007598,2.0
120,197.0,-235.0,1713172059.311264,2.0
121,198.0,-235.0,1713172059.3203855,2.0
122,198.0,-235.0,1713172059.3297608,2.0
123,199.0,-235.0,1713172059.339041,2.0
124,200.0,-236.0,1713172059.348775,2.0
125,201.0,-237.0,1713172059.3591137,2.0
126,203.0,-239.0,1713172059.3677783,2.0
127,205.0,-242.0,1713172059.3777716,2.0
128,206.0,-245.0,1713172059.3861115,2.0
129,208.0,-249.0,1713172059.3953083,2.0
130,209.0,-253.0,1713172059.4054377,2.0
131,211.0,-256.0,1713172059.414861,2.0
132,212.0,-260.0,1713172059.4270906,2.0
133,213.0,-264.0,1713172059.4343073,2.0
134,214.0,-268.0,1713172059.443941,2.0
135,215.0,-272.0,1713172059.4533882,2.0
136,215.0,-276.0,1713172059.4626362,2.0
137,216.0,-279.0,1713172059.4721835,2.0
138,216.0,-283.0,1713172059.482107,2.0
139,216.0,-285.0,1713172059.492547,2.0
140,216.0,-288.0,1713172059.5008464,2.0
141,216.0,-291.0,1713172059.510927,2.0
142,216.0,-293.0,1713172059.52123,2.0
143,217.0,-295.0,1713172059.529837,2.0
144,217.0,-297.0,1713172059.5391114,2.0
145,217.0,-299.0,1713172059.5485926,2.0
146,217.0,-299.0,1713172059.5591025,2.0
147,217.0,-299.0,1713172059.5591464,2.0
148,246.0,-263.0,1713172059.8586318,3.0
149,248.0,-263.0,1713172059.9128628,3.0
150,249.0,-263.0,1713172059.9232285,3.0
151,251.0,-263.0,1713172059.9318087,3.0
152,253.0,-263.0,1713172059.9409082,3.0
153,256.0,-263.0,1713172059.950719,3.0
