,x,y,t,stroke_nr
0,127.0,-204.0,1713172205.6692107,0.0
1,126.0,-202.0,1713172205.7625453,0.0
2,125.0,-201.0,1713172205.7723927,0.0
3,125.0,-200.0,1713172205.7826807,0.0
4,124.0,-198.0,1713172205.7911098,0.0
5,122.0,-197.0,1713172205.8009987,0.0
6,121.0,-195.0,1713172205.8107927,0.0
7,120.0,-194.0,1713172205.8195996,0.0
8,118.0,-193.0,1713172205.8295515,0.0
9,116.0,-192.0,1713172205.8423002,0.0
10,114.0,-191.0,1713172205.8493066,0.0
11,112.0,-190.0,1713172205.8585765,0.0
12,110.0,-190.0,1713172205.867892,0.0
13,108.0,-189.0,1713172205.877885,0.0
14,106.0,-189.0,1713172205.8869011,0.0
15,104.0,-189.0,1713172205.896538,0.0
16,102.0,-189.0,1713172205.906935,0.0
17,97.0,-191.0,1713172205.941205,0.0
18,95.0,-193.0,1713172205.9439175,0.0
19,93.0,-195.0,1713172205.9532316,0.0
20,91.0,-197.0,1713172205.962766,0.0
21,89.0,-199.0,1713172205.972517,0.0
22,87.0,-202.0,1713172205.9818585,0.0
23,85.0,-206.0,1713172205.9916925,0.0
24,83.0,-209.0,1713172206.000574,0.0
25,82.0,-214.0,1713172206.01031,0.0
26,81.0,-218.0,1713172206.0200124,0.0
27,81.0,-222.0,1713172206.0296576,0.0
28,80.0,-226.0,1713172206.03991,0.0
29,80.0,-230.0,1713172206.0485928,0.0
30,80.0,-234.0,1713172206.0582662,0.0
31,81.0,-238.0,1713172206.0672848,0.0
32,81.0,-243.0,1713172206.0768201,0.0
33,82.0,-247.0,1713172206.0873284,0.0
34,83.0,-250.0,1713172206.095793,0.0
35,84.0,-253.0,1713172206.1056871,0.0
36,85.0,-255.0,1713172206.1150563,0.0
37,86.0,-257.0,1713172206.1246452,0.0
38,87.0,-258.0,1713172206.1345963,0.0
39,88.0,-259.0,1713172206.1440232,0.0
40,89.0,-260.0,1713172206.1544478,0.0
41,90.0,-261.0,1713172206.1635365,0.0
42,91.0,-261.0,1713172206.1726973,0.0
43,92.0,-261.0,1713172206.182289,0.0
44,93.0,-261.0,1713172206.1921208,0.0
45,95.0,-261.0,1713172206.2012732,0.0
46,97.0,-260.0,1713172206.2133937,0.0
47,99.0,-259.0,1713172206.2203634,0.0
48,101.0,-257.0,1713172206.2296956,0.0
49,104.0,-255.0,1713172206.238697,0.0
50,106.0,-252.0,1713172206.2479177,0.0
51,109.0,-249.0,1713172206.2575362,0.0
52,111.0,-246.0,1713172206.267071,0.0
53,112.0,-243.0,1713172206.2769368,0.0
54,115.0,-237.0,1713172206.299233,0.0
55,116.0,-234.0,1713172206.3054483,0.0
56,118.0,-230.0,1713172206.3150737,0.0
57,119.0,-226.0,1713172206.323848,0.0
58,120.0,-223.0,1713172206.3336344,0.0
59,121.0,-220.0,1713172206.3440986,0.0
60,121.0,-217.0,1713172206.352678,0.0
61,122.0,-215.0,1713172206.3623867,0.0
62,122.0,-213.0,1713172206.3718116,0.0
63,122.0,-211.0,1713172206.381234,0.0
64,123.0,-210.0,1713172206.3911421,0.0
65,123.0,-209.0,1713172206.4003108,0.0
66,123.0,-208.0,1713172206.4123406,0.0
67,123.0,-207.0,1713172206.4198177,0.0
68,123.0,-207.0,1713172206.4302406,0.0
